capacidad,precio,fecha,folio,cliente,estado,concepto
"20 HP","18000","2026-02-19","S00121","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 20HP Servicio de mantenimiento correc"
"20 HP","35500","2026-01-27","S00033","Grupo Industrial Vértice del Sureste, S.A. de C.V.","sale","BOBINADO DE MOTOR 20HP Servicio de mantenimiento correc"
"22.5 KW","35000","2025-12-01","S00008","INGENIO PRESIDENTE BENITO JUAREZ","sent","BOBINADO DE MOTOR 22.5KW Servicio de mantenimiento corr"
"25 HP","0","2026-05-28","S00231","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206647Ser embobinado motor 25 HP cambiar STD"
"25 HP","6000","2026-02-20","S00133","Ajemex","draft","Elaboracion y diseño de diagrama para rebobinado de mot"
"25 HP","13000","2026-05-28","S00231","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206647Ser embobinado motor 25 HP cambiar STD Servicio"
"25 HP","13000","2026-03-10","S00090","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","MX206647Ser embobinado motor 25 HP cambiar STD Servicio"
"25 HP","18000","2026-04-10","S00191","ACUAGRANJAS DOS LAGOS","draft","BOBINADO DE MOTOR 25HP Servicio de mantenimiento correc"
"25 HP","18000","2026-02-20","S00133","Ajemex","draft","BOBINADO DE MOTOR 25HP Servicio de mantenimiento correc"
"25 HP","18000","2026-02-19","S00122","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 25HP Servicio de mantenimiento correc"
"25 HP","19800","2026-06-23","S00271","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 25HP Servicio de mantenimiento correc"
"25 KW","39600","2026-06-10","S00260","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR DE 25 KW Servicio de mantenimiento Co"
"30 HP","17000","2026-02-23","S00135","Embotelladora Mexicana de Bebidas Refrescantes","draft","MX206999Ser embobinado motor 30 HP cambiar STD Servicio"
"30 HP","20400","2026-06-03","S00239","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX207079Ser embobinado motor 30 HP cambiar EXT Servicio"
"30 HP","22000","2025-12-01","S00008","INGENIO PRESIDENTE BENITO JUAREZ","sent","REBOBINADO DE ELECTRO FRENO MOTOR 30HP Rebobinado de El"
"30 HP","23000","2026-07-09","S00217","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correc"
"30 HP","23000","2026-07-09","S00208","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correc"
"30 HP","23000","2026-02-19","S00123","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correc"
"30 HP","23500","2026-06-08","S00257","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correc"
"30 HP","23500","2026-05-27","S00226","SERVICIOS FAGO","sale","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correc"
"30 HP","23500","2026-04-13","S00196","SERVICIOS FAGO","draft","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correc"
"30 HP","23500","2025-12-01","S00007","INGENIO PRESIDENTE BENITO JUAREZ","sent","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correc"
"30 KW","31000","2026-07-03","S00290","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR 30KW Servicio de mantenimiento correc"
"30 KW","31000","2026-04-25","S00214","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 30KW Servicio de mantenimiento correc"
"35 KW","1","2026-05-29","S00248","TRIMAG MAQUINARIA Y SUMINISTRO INDUSTRIAL","sale","Bobinado de generador 35kw Servicio de rebobinado de un"
"35 KW","14832","2026-06-29","S00225","TRIMAG MAQUINARIA Y SUMINISTRO INDUSTRIAL","sale","Bobinado de generador 35kw Servicio de rebobinado de un"
"36 KVA","25000","2026-04-06","S00184","TRIMAG MAQUINARIA Y SUMINISTRO INDUSTRIAL","draft","SERVICIO DE BOBINADO DE MOTOR MARCA KOHLER 36 KVA Servi"
"40 HP","28500","2026-09-03","S00360","Jeymar Hdz","draft","REBOBINADO MOTOR 40 HP 4 POLOS Rebobinado de motor eléc"
"40 HP","28500","2026-02-19","S00124","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 40 HP Servicio de mantenimiento corre"
"50 HP","28800","2026-01-06","S00043","Ing.Lopez","draft","MX207392Ser embobinado motor 50 HP cambiar EXT Servicio"
"50 HP","32500","2026-06-03","S00252","Vimifos, S.A. de C.V.","draft","BOBINADO DE MOTOR 50 HP Bobinado de Motor de 50HP 3200 "
"50 HP","36000","2026-07-09","S00218","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR 50 HP Desmontaje, identificación de f"
"50 HP","36000","2026-07-03","S00290","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR 50 HP Desmontaje, identificación de f"
"50 HP","36000","2026-04-25","S00216","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 50 HP Desmontaje, identificación de f"
"50 HP","36000","2026-04-10","S00190","ACUAGRANJAS DOS LAGOS","draft","BOBINADO DE MOTOR 50 HP Desmontaje, identificación de f"
