id,ref,nombre,usd,costoAntes,costoDespues,precioAntes,precioDespues
"13885","061345008-0030","6000-C-C3","3.1784850000000002","40.53","40.53","81.06","81.06"
"13886","061913367-0000","6000-C-HRS","3.9954450000000006","50.94","50.94","101.88","101.88"
"13887","095769307-0000","6000-C-HRS>V","3.9954450000000006","50.94","50.94","101.88","101.88"
"13888","061913049-0000","6000-C-Z","3.306135","42.15","42.15","84.3","84.3"
"13890","095769323-0030","6000-C-Z-C3>V","3.306135","42.15","42.15","84.3","84.3"
"13891","062098420-0000","6000-C-Z-TVH","3.26784","41.66","41.66","83.32","83.32"
"13892","095769331-0000","6000-C-Z-TVH>V","3.26784","41.66","41.66","83.32","83.32"
"13889","095769323-0000","6000-C-Z>V","3.306135","42.15","42.15","84.3","84.3"
"13879","095702660-0000","6000-C>V","3.1784850000000002","40.53","40.53","81.06","81.06"
"13893","038281252-0000","6000-THB","9.305685","118.65","118.65","237.3","237.3"
"13894","038390507-0000","6000-Z-THB","10.39071","132.48","132.48","264.96","264.96"
"13895","038894831-0030","6000-Z-THB-P6-C3","12.956475","165.2","165.2","330.4","330.4"
"13896","039262430-0030","6000-Z-TVH2-C3","3.26784","41.66","41.66","83.32","83.32"
"7915","038390515-0000","6001","3.3699600000000003","42.97","42.97","85.94","85.94"
"7916","038390523-0000","6001-2RSR","4.174155","53.22","53.22","106.44","106.44"
"7917","038390523-0030","6001-2RSR-C3","4.174155","53.22","53.22","106.44","106.44"
"7918","038390531-0000","6001-2Z","3.5231399999999997","44.92","44.92","89.84","89.84"
"13897","059207248-0000","6001-C","3.3699600000000003","42.97","42.97","85.94","85.94"
"10923","059208899-0000","6001-C-2HRS","4.174155","53.22","53.22","106.44","106.44"
"10924","059208899-0030","6001-C-2HRS-C3","4.174155","53.22","53.22","106.44","106.44"
"10925","095404651-0030","6001-C-2HRS-C3>V","4.174155","53.22","53.22","106.44","106.44"
"10926","059208899-0040","6001-C-2HRS-C4","5.718720000000001","72.91","72.91","145.82","145.82"
"10927","069038929-0000","6001-C-2HRS-L038","4.174155","53.22","53.22","106.44","106.44"
"10929","069038929-0030","6001-C-2HRS-L038-C3","4.174155","53.22","53.22","106.44","106.44"
"10930","095404660-0030","6001-C-2HRS-L038-C3>V","4.174155","53.22","53.22","106.44","106.44"
"10928","095404660-0000","6001-C-2HRS-L038>V","4.174155","53.22","53.22","106.44","106.44"
"13899","059207736-0000","6001-C-2Z","3.5231399999999997","44.92","44.92","89.84","89.84"
"13901","059207736-0020","6001-C-2Z-C2","4.352865","55.5","55.5","111","111"
"13902","059207736-0030","6001-C-2Z-C3","3.5231399999999997","44.92","44.92","89.84","89.84"
"13903","093332629-0030","6001-C-2Z-C3>A","3.5231399999999997","44.92","44.92","89.84","89.84"
"13904","095404716-0030","6001-C-2Z-C3>V","3.5231399999999997","44.92","44.92","89.84","89.84"
"11229","064359832-0030","6001-C-2Z-L038-C3","3.5231399999999997","44.92","44.92","89.84","89.84"
"11230","095404724-0030","6001-C-2Z-L038-C3>V","3.5231399999999997","44.92","44.92","89.84","89.84"
"13905","095404724-0000","6001-C-2Z-L038>V","3.5231399999999997","44.92","44.92","89.84","89.84"
"13906","059407581-0000","6001-C-2Z-L138","3.5231399999999997","44.92","44.92","89.84","89.84"
"13900","095404716-0000","6001-C-2Z>V","3.5231399999999997","44.92","44.92","89.84","89.84"
"13907","059207248-0030","6001-C-C3","3.3699600000000003","42.97","42.97","85.94","85.94"
"13908","095404589-0030","6001-C-C3>V","3.3699600000000003","42.97","42.97","85.94","85.94"
"13909","059924772-0000","6001-C-HRS","5.1698249999999994","65.92","65.92","131.84","131.84"
"13911","059924772-0030","6001-C-HRS-C3","5.1698249999999994","65.92","65.92","131.84","131.84"
"13912","095404791-0030","6001-C-HRS-C3>V","5.1698249999999994","65.92","65.92","131.84","131.84"
"13910","095404791-0000","6001-C-HRS>V","5.1698249999999994","65.92","65.92","131.84","131.84"
"13913","059924144-0000","6001-C-Z","3.612495","46.06","46.06","92.12","92.12"
"13914","059924144-0030","6001-C-Z-C3","3.612495","46.06","46.06","92.12","92.12"
"13915","095404821-0030","6001-C-Z-C3>V","3.612495","46.06","46.06","92.12","92.12"
"13898","093522932-0000","6001-C>A","3.3699600000000003","42.97","42.97","85.94","85.94"
"7919","038390574-0000","6001-Z","3.612495","46.06","46.06","92.12","92.12"
"7920","054558417-0000","6002","3.3189","42.32","42.32","84.64","84.64"
"7921","054565561-0000","6002-2RSR","3.6763199999999996","46.87","46.87","93.74","93.74"
"13916","038913607-0000","6002-2RSR-L038","3.6763199999999996","46.87","46.87","93.74","93.74"
"11231","038913607-0030","6002-2RSR-L038-C3","3.6763199999999996","46.87","46.87","93.74","93.74"
"7922","054567459-0030","6002-2Z-C3","3.0891300000000004","39.39","39.39","78.78","78.78"
"13917","038894980-0000","6002-2Z-L038","3.0891300000000004","39.39","39.39","78.78","78.78"
