sap,desc,familia,usd,costo,precio,marca
"097247154-0030","2202-TVH-C3>N","Autoalineantes","15.943484999999999","203.28","406.56","FAG"
"016702662-0000","2203-2RS-TVH","Autoalineantes","20.564415","262.2","524.39","FAG"
"096996544-0000","2203-2RS-TVH>N","Autoalineantes","20.564415","262.2","524.39","FAG"
"016702670-0000","2203-TVH","Autoalineantes","16.23708","207.02","414.05","FAG"
"097247162-0000","2203-TVH>N","Autoalineantes","16.23708","207.02","414.05","FAG"
"016702670-0030","2203-TVH-C3","Autoalineantes","16.23708","207.02","414.05","FAG"
"097247162-0030","2203-TVH-C3>N","Autoalineantes","16.23708","207.02","414.05","FAG"
"016702689-0000","2204-2RS-TVH","Autoalineantes","22.325984999999996","284.66","569.31","FAG"
"096996552-0000","2204-2RS-TVH>N","Autoalineantes","22.325984999999996","284.66","569.31","FAG"
"016702700-0000","2204-TVH","Autoalineantes","17.66676","225.25","450.5","FAG"
"097247170-0000","2204-TVH>N","Autoalineantes","17.66676","225.25","450.5","FAG"
"016702700-0030","2204-TVH-C3","Autoalineantes","17.66676","225.25","450.5","FAG"
"097247170-0030","2204-TVH-C3>N","Autoalineantes","17.66676","225.25","450.5","FAG"
"016702719-0000","2205-2RS-TVH","Autoalineantes","23.500365000000002","299.63","599.26","FAG"
"096996560-0000","2205-2RS-TVH>N","Autoalineantes","23.500365000000002","299.63","599.26","FAG"
"016702719-0030","2205-2RS-TVH-C3","Autoalineantes","23.500365000000002","299.63","599.26","FAG"
"038903962-0030","2205-K-2RS-TVH-C3","Autoalineantes","23.500365000000002","299.63","599.26","FAG"
"038904004-0030","2205-K-TVH-C3","Autoalineantes","19.696395","251.13","502.26","FAG"
"016702743-0000","2205-TVH","Autoalineantes","19.696395","251.13","502.26","FAG"
"097247197-0000","2205-TVH>N","Autoalineantes","19.696395","251.13","502.26","FAG"
"016702743-0030","2205-TVH-C3","Autoalineantes","19.696395","251.13","502.26","FAG"
"097247197-0030","2205-TVH-C3>N","Autoalineantes","19.696395","251.13","502.26","FAG"
"016702760-0000","2206-2RS-TVH","Autoalineantes","26.768205","341.29","682.59","FAG"
"096996579-0000","2206-2RS-TVH>N","Autoalineantes","26.768205","341.29","682.59","FAG"
"038472562-0030","2206-K-2RS-TVH-C3","Autoalineantes","26.768205","341.29","682.59","FAG"
"038904136-0030","2206-K-TVH-C3","Autoalineantes","21.764325000000003","277.5","554.99","FAG"
"016702794-0000","2206-TVH","Autoalineantes","21.764325000000003","277.5","554.99","FAG"
"097247200-0000","2206-TVH>N","Autoalineantes","21.764325000000003","277.5","554.99","FAG"
"016702794-0030","2206-TVH-C3","Autoalineantes","21.764325000000003","277.5","554.99","FAG"
"097247200-0030","2206-TVH-C3>N","Autoalineantes","21.764325000000003","277.5","554.99","FAG"
"016702808-0000","2207-2RS-TVH","Autoalineantes","33.59748","428.37","856.74","FAG"
"016702808-0030","2207-2RS-TVH-C3","Autoalineantes","33.59748","428.37","856.74","FAG"
"038904233-0030","2207-K-2RS-TVH-C3","Autoalineantes","33.59748","428.37","856.74","FAG"
"038904241-0030","2207-K-TVH-C3","Autoalineantes","26.104425","332.83","665.66","FAG"
