sap,desc,usd,precio_mxn,familia,marca
"019169310-0000","=-T-EASY-CHECK.NIPPLE-G1/8","16.951919999999998","432.27","(otros)","SCHAEFFLER"
"019169329-0000","=-T-EASY-CHECK.NIPPLE-M10","16.951919999999998","432.27","(otros)","SCHAEFFLER"
"019169337-0000","=-T-EASY-CHECK.NIPPLE-STICK","16.951919999999998","432.27","(otros)","SCHAEFFLER"
"005990785-0000","=-T-ESS.802-AW","32.03793","816.97","(otros)","INA"
"085111023-0000","=-T-FRM130/6","2.91042","74.22","(otros)","FAG"
"006633560-0000","=-T-GAKR22-PW","103.20169500000003","2631.64","(otros)","INA"
"006630979-0000","=-T-GIKPR30-PW","187.77703500000004","4788.31","(otros)","INA"
"006639755-0000","=-T-GIKR18-PB","91.90300500000002","2343.53","(otros)","INA"
"062965344-0000","=-T-GLOVE-PRO-CUT","64.297305","1639.58","(otros)","SCHAEFFLER"
"019177054-0000","=-T-H3168","1453.26972","37058.38","(otros)","FAG"
"019177178-0000","=-T-H3180","2320.281285","59167.17","(otros)","FAG"
"039614662-0000","=-T-H3264","1457.38005","37163.19","(otros)","FAG"
"038884275-0000","=-T-HEATER10.BAG","152.10773999999998","3878.75","(otros)","SCHAEFFLER"
"038856352-0000","=-T-HEATER1200","15492.969855","395070.73","(otros)","SCHAEFFLER"
"021939535-0000","=-T-HEATER150","3267.04857","83309.74","(otros)","SCHAEFFLER"
"039698017-0000","=-T-HEATER150.SWITCH","376.05690000000004","9589.45","(otros)","SCHAEFFLER"
"021939667-0000","=-T-HEATER300","5230.5864","133379.95","(otros)","SCHAEFFLER"
"020503253-0000","=-T-HEATER35","4925.847555","125609.11","(otros)","SCHAEFFLER"
"039086623-0000","=-T-HEATER35.ADAPTER-120","370.12117500000005","9438.09","(otros)","SCHAEFFLER"
"021939780-0000","=-T-HEATER35.LEDGE-15","110.838495","2826.38","(otros)","SCHAEFFLER"
"021939799-0000","=-T-HEATER35.LEDGE-20","110.838495","2826.38","(otros)","SCHAEFFLER"
"021939802-0000","=-T-HEATER35.LEDGE-35","327.460545","8350.24","(otros)","SCHAEFFLER"
"021943397-0000","=-T-HEATER35.LEDGE-45","346.74845999999997","8842.09","(otros)","SCHAEFFLER"
"021939810-0000","=-T-HEATER35.LEDGE-60","372.25293000000005","9492.45","(otros)","SCHAEFFLER"
"021939829-0000","=-T-HEATER35.LEDGE-70","450.693855","11492.69","(otros)","SCHAEFFLER"
"074247719-0000","=-T-HEATER40.COVER","415.61563499999994","10598.20","(otros)","SCHAEFFLER"
"038856344-0000","=-T-HEATER600","10716.243029999998","273264.20","(otros)","SCHAEFFLER"
"062749404-0000","=-T-HEATER600-LIFT","34904.64153","890068.36","(otros)","SCHAEFFLER"
"019269625-0000","=-T-HYDNUT","8780.09889","223892.52","(otros)","SCHAEFFLER"
"038857340-0000","=-T-HYDNUT100","1699.7874","43344.58","(otros)","SCHAEFFLER"
"039037860-0000","=-T-HYDNUT1000","41108.89107","1048276.72","(otros)","SCHAEFFLER"
"038857359-0000","=-T-HYDNUT105","1817.19987","46338.60","(otros)","SCHAEFFLER"
"038857367-0000","=-T-HYDNUT110","1817.19987","46338.60","(otros)","SCHAEFFLER"
"039602761-0000","=-T-HYDNUT110-INCH","1817.19987","46338.60","(otros)","SCHAEFFLER"
"038857375-0000","=-T-HYDNUT115","1817.19987","46338.60","(otros)","SCHAEFFLER"
"038857383-0000","=-T-HYDNUT120","1817.19987","46338.60","(otros)","SCHAEFFLER"
"039696499-0000","=-T-HYDNUT120-INCH","1817.19987","46338.60","(otros)","SCHAEFFLER"
"038857405-0000","=-T-HYDNUT125","1817.19987","46338.60","(otros)","SCHAEFFLER"
"038857413-0000","=-T-HYDNUT130","1968.31194","50191.95","(otros)","SCHAEFFLER"
"038857421-0000","=-T-HYDNUT135","1968.31194","50191.95","(otros)","SCHAEFFLER"
"038857430-0000","=-T-HYDNUT140","2071.42761","52821.40","(otros)","SCHAEFFLER"
"038857448-0000","=-T-HYDNUT145","2071.42761","52821.40","(otros)","SCHAEFFLER"
"038857456-0000","=-T-HYDNUT150","2071.42761","52821.40","(otros)","SCHAEFFLER"
"079265057-0000","=-T-HYDNUT150-INCH","2071.42761","52821.40","(otros)","SCHAEFFLER"
"038857464-0000","=-T-HYDNUT155","2082.12468","53094.18","(otros)","SCHAEFFLER"
"038857472-0000","=-T-HYDNUT160","2204.7963299999997","56222.31","(otros)","SCHAEFFLER"
"064821994-0000","=-T-HYDNUT160-INCH","2204.7963299999997","56222.31","(otros)","SCHAEFFLER"
"038857480-0000","=-T-HYDNUT165","2302.588995","58716.02","(otros)","SCHAEFFLER"
"038857499-0000","=-T-HYDNUT170","2355.9211649999997","60075.99","(otros)","SCHAEFFLER"
"060439122-0000","=-T-HYDNUT170-INCH","2355.9211649999997","60075.99","(otros)","SCHAEFFLER"
"038857502-0000","=-T-HYDNUT180","2373.7283399999997","60530.07","(otros)","SCHAEFFLER"
"039602702-0000","=-T-HYDNUT180-INCH","2373.7283399999997","60530.07","(otros)","SCHAEFFLER"
"038857510-0000","=-T-HYDNUT190","2510.6201999999994","64020.82","(otros)","SCHAEFFLER"
"054292069-0000","=-T-HYDNUT190-INCH","2510.6201999999994","64020.82","(otros)","SCHAEFFLER"
"038857529-0000","=-T-HYDNUT200","2843.1229200000007","72499.63","(otros)","SCHAEFFLER"
"054292085-0000","=-T-HYDNUT200-INCH","2843.1229200000007","72499.63","(otros)","SCHAEFFLER"
"039620441-0000","=-T-HYDNUT205","2921.3723700000005","74495.00","(otros)","SCHAEFFLER"
"039620131-0000","=-T-HYDNUT210","2987.150415","76172.34","(otros)","SCHAEFFLER"
"039698203-0000","=-T-HYDNUT215","3063.6","78121.80","(otros)","SCHAEFFLER"
"038857537-0000","=-T-HYDNUT220","3136.5136800000005","79981.10","(otros)","SCHAEFFLER"
"039066444-0000","=-T-HYDNUT220-INCH","3136.5136800000005","79981.10","(otros)","SCHAEFFLER"
"061574015-0000","=-T-HYDNUT225","3252.0752250000005","82927.92","(otros)","SCHAEFFLER"
"038857545-0000","=-T-HYDNUT230","3365.8752","85829.82","(otros)","SCHAEFFLER"
"039716546-0000","=-T-HYDNUT235","3417.4585650000004","87145.19","(otros)","SCHAEFFLER"
"038857553-0000","=-T-HYDNUT240","3469.0164","88459.92","(otros)","SCHAEFFLER"
"080051480-0000","=-T-HYDNUT240-INCH","3469.0164","88459.92","(otros)","SCHAEFFLER"
"039778622-0000","=-T-HYDNUT250","3629.025675","92540.15","(otros)","SCHAEFFLER"
"038857561-0000","=-T-HYDNUT260","3799.719255","96892.84","(otros)","SCHAEFFLER"
"076781089-0000","=-T-HYDNUT260-INCH","3799.719255","96892.84","(otros)","SCHAEFFLER"
"038876302-0000","=-T-HYDNUT270","3966.8513999999996","101154.71","(otros)","SCHAEFFLER"
"039602826-0000","=-T-HYDNUT280-INCH","4153.5522900000005","105915.58","(otros)","SCHAEFFLER"
"038857588-0000","=-T-HYDNUT290","4310.025660000001","109905.65","(otros)","SCHAEFFLER"
"038857596-0000","=-T-HYDNUT300","4470.060465","113986.54","(otros)","SCHAEFFLER"
"054754313-0000","=-T-HYDNUT310","4558.96869","116253.70","(otros)","SCHAEFFLER"
"038857600-0000","=-T-HYDNUT320","4642.52838","118384.47","(otros)","SCHAEFFLER"
"038885115-0000","=-T-HYDNUT320-INCH","4642.52838","118384.47","(otros)","SCHAEFFLER"
"038857618-0000","=-T-HYDNUT330","4738.559475","120833.27","(otros)","SCHAEFFLER"
"038857626-0000","=-T-HYDNUT340","4980.366870000001","126999.36","(otros)","SCHAEFFLER"
"056961774-0000","=-T-HYDNUT340-INCH","4980.366870000001","126999.36","(otros)","SCHAEFFLER"
"039620450-0000","=-T-HYDNUT345","5099.48985","130036.99","(otros)","SCHAEFFLER"
"038857634-0000","=-T-HYDNUT350","5215.089690000001","132984.79","(otros)","SCHAEFFLER"
"038857642-0000","=-T-HYDNUT360","5279.080635","134616.56","(otros)","SCHAEFFLER"
"039481859-0000","=-T-HYDNUT360-INCH","5279.080635","134616.56","(otros)","SCHAEFFLER"
"038876329-0000","=-T-HYDNUT365","5536.895340000001","141190.83","(otros)","SCHAEFFLER"
"057040273-0000","=-T-HYDNUT370","5739.603539999999","146359.89","(otros)","SCHAEFFLER"
"058479465-0000","=-T-HYDNUT380-INCH","5981.410934999999","152525.98","(otros)","SCHAEFFLER"
"062562126-0000","=-T-HYDNUT385","6191.242005","157876.67","(otros)","SCHAEFFLER"
"038857669-0000","=-T-HYDNUT400","6415.242224999998","163588.68","(otros)","SCHAEFFLER"
"067850120-0000","=-T-HYDNUT400-INCH","6415.242224999998","163588.68","(otros)","SCHAEFFLER"
"039056635-0000","=-T-HYDNUT410","6667.74669","170027.54","(otros)","SCHAEFFLER"
"038857677-0000","=-T-HYDNUT420","6907.77975","176148.38","(otros)","SCHAEFFLER"
"039602770-0000","=-T-HYDNUT420-INCH","6907.77975","176148.38","(otros)","SCHAEFFLER"
"038857685-0000","=-T-HYDNUT440","7259.8512150000015","185126.21","(otros)","SCHAEFFLER"
"056191944-0000","=-T-HYDNUT440-INCH","7985.822295000001","203638.47","(otros)","SCHAEFFLER"
"038857693-0000","=-T-HYDNUT460","7597.67694","193740.76","(otros)","SCHAEFFLER"
"056194544-0000","=-T-HYDNUT460-INCH","7259.8512150000015","185126.21","(otros)","SCHAEFFLER"
"069239452-0000","=-T-HYDNUT470","7885.7191649999995","201085.84","(otros)","SCHAEFFLER"
"038857707-0000","=-T-HYDNUT480","8123.977890000002","207161.44","(otros)","SCHAEFFLER"
"080818420-0000","=-T-HYDNUT490","8317.82718","212104.59","(otros)","SCHAEFFLER"
"038857219-0000","=-T-HYDNUT50","1561.74669","39824.54","(otros)","SCHAEFFLER"
"038857715-0000","=-T-HYDNUT500","8568.519015","218497.23","(otros)","SCHAEFFLER"
"038876337-0000","=-T-HYDNUT520","9288.63096","236860.09","(otros)","SCHAEFFLER"
"056194587-0000","=-T-HYDNUT530-INCH","9288.63096","236860.09","(otros)","SCHAEFFLER"
"069845298-0000","=-T-HYDNUT540","9830.926455","250688.62","(otros)","SCHAEFFLER"
"038857243-0000","=-T-HYDNUT55","1561.74669","39824.54","(otros)","SCHAEFFLER"
"038857731-0000","=-T-HYDNUT550","9830.926455","250688.62","(otros)","SCHAEFFLER"
"073798568-0000","=-T-HYDNUT55-INCH","1561.74669","39824.54","(otros)","SCHAEFFLER"
"038857740-0000","=-T-HYDNUT560","10110.109770000001","257807.80","(otros)","SCHAEFFLER"
"054409446-0000","=-T-HYDNUT580","11790.379485","300654.68","(otros)","SCHAEFFLER"
"054366798-0000","=-T-HYDNUT590","12265.109835","312760.30","(otros)","SCHAEFFLER"
"038857260-0000","=-T-HYDNUT60","1561.74669","39824.54","(otros)","SCHAEFFLER"
"038857758-0000","=-T-HYDNUT600","12741.627285","324911.50","(otros)","SCHAEFFLER"
"039602710-0000","=-T-HYDNUT600-INCH","12741.627285","324911.50","(otros)","SCHAEFFLER"
"039082121-0000","=-T-HYDNUT60-INCH","1561.74669","39824.54","(otros)","SCHAEFFLER"
"073363154-0000","=-T-HYDNUT610","13438.621814999999","342684.86","(otros)","SCHAEFFLER"
"038876345-0000","=-T-HYDNUT625","14135.62911","360458.54","(otros)","SCHAEFFLER"
"038857766-0000","=-T-HYDNUT630","15163.377555000003","386666.13","(otros)","SCHAEFFLER"
"038857278-0000","=-T-HYDNUT65","1589.6126849999998","40535.12","(otros)","SCHAEFFLER"
"054408474-0000","=-T-HYDNUT650","15522.533594999999","395824.61","(otros)","SCHAEFFLER"
"084221771-0000","=-T-HYDNUT655","15922.57593","406025.69","(otros)","SCHAEFFLER"
"038857774-0000","=-T-HYDNUT670","16466.658525","419899.79","(otros)","SCHAEFFLER"
"038857286-0000","=-T-HYDNUT70","1589.6126849999998","40535.12","(otros)","SCHAEFFLER"
"038876353-0000","=-T-HYDNUT710","18536.350094999998","472676.93","(otros)","SCHAEFFLER"
"084221798-0000","=-T-HYDNUT740","20794.478595","530259.20","(otros)","SCHAEFFLER"
"038857294-0000","=-T-HYDNUT75","1617.4403849999999","41244.73","(otros)","SCHAEFFLER"
"038857782-0000","=-T-HYDNUT750","20794.478595","530259.20","(otros)","SCHAEFFLER"
"039602800-0000","=-T-HYDNUT75-INCH","1617.4403849999999","41244.73","(otros)","SCHAEFFLER"
"072468793-0000","=-T-HYDNUT780","22670.33364","578093.51","(otros)","SCHAEFFLER"
"038857790-0000","=-T-HYDNUT800","24626.238","627969.07","(otros)","SCHAEFFLER"
"039620140-0000","=-T-HYDNUT830","27190.177605000004","693349.53","(otros)","SCHAEFFLER"
"038857316-0000","=-T-HYDNUT85","1646.416935","41983.63","(otros)","SCHAEFFLER"
"039620158-0000","=-T-HYDNUT850","30408.502169999996","775416.81","(otros)","SCHAEFFLER"
"056961766-0000","=-T-HYDNUT85-INCH","1646.416935","41983.63","(otros)","SCHAEFFLER"
"083053212-0000","=-T-HYDNUT880","31025.46015","791149.23","(otros)","SCHAEFFLER"
"039620166-0000","=-T-HYDNUT900","33264.04543500001","848233.16","(otros)","SCHAEFFLER"
"070434735-0000","=-T-HYDNUT90-INCH","1646.416935","41983.63","(otros)","SCHAEFFLER"
"038857332-0000","=-T-HYDNUT95","1646.416935","41983.63","(otros)","SCHAEFFLER"
"053382455-0000","=-T-HYDNUT950","40282.089255000006","1027193.28","(otros)","SCHAEFFLER"
"039009220-0000","=-T-HYDNUT95-INCH","1646.416935","41983.63","(otros)","SCHAEFFLER"
"019255969-0000","=-T-INJECT1600","560.0899049999999","14282.29","(otros)","SCHAEFFLER"
"019255985-0000","=-T-INJECT1600.VALVE","123.73114500000001","3155.14","(otros)","SCHAEFFLER"
